Id,Description,Package,Qty,Designator,Designation
1,1x6-pin female header .1inch,.1 inch header,1,SHIELD1,ARDUINO_SHIELD
2,1x8-pin female header .1inch,.1 inch header,2,SHIELD1,ARDUINO_SHIELD
3,1x10-pin female header .1inch,.1 inch header,1,SHIELD1,ARDUINO_SHIELD
4,LDO voltage regulator,SOT89,4,"REG1,REG2,REG3,REG4",LD2981ABU50TR
5,UART multiplexer,SO16N,1,MUX1,74HCT4052D122
6,Digital signal isolator,so-8,4,"SIG_ISO2,SIG_ISO3,SIG_ISO4,SIG_ISO1",SI8600
7,"SMD resistor 4.7K, 1/8W",SM0805,19,"R16,R14,R12,R10,R8,R6,R4,R2,R17,R3,R1,R7,R5,R9,R11,R13,R15,R18,R19",4.7K
8,Multilayer Ceramic Capacitor 0.1uF,SM0805,8,"C4,C9,C14,C19,C10,C5,C15,C20",0.1 µF
9,Multilayer Ceramic Capacitor 1uF,SM0805,8,"C12,C2,C7,C17,C1,C6,C11,C16",1µF
10,Multilayer Ceramic Capacitor 2.2uF,SM0805,4,"C3,C8,C13,C18",2.2µF
11,Tantalum Capacitor 470uF,c_tant_x,1,C21,470µF
12,1x3 male pin headers .1inch,1x3  .1 inch spacing male pin,1,JP9,JUMPER3
13,2x3 male pin headers .1inch,2x3  .1 inch spacing male pin,4,"JP1,JP3,JP5,JP7,JP2,JP4,JP6,JP8",JUMPER3
14,Tactile push button,B3S-1000P,1,SW1,SW_PUSH
15,Isolated DC/DC converter 5V,R1SE_0505,4,"DCDC1,DCDC2,DCDC3,DCDC4",R1SE_0505
16,BNC Connector,BNC-1337542,4,"P1,P2,P3,P4",BNC
17,1x3-pin female header .1inch,1x3  .1 inch spacing female pin,8,"STP1,STP2,STP3,STP4",ATLAS_STAMP
18,Shorting jumper .1inch,.1 inch jumper,9,JP*,"JUMPER, JUMPER3"
